renda_mensal_min,renda_mensal_max,pagantes
0,0,37471561
0.01,788,43718123
788.01,1576,42691546
1576.01,2364,15105419
2364.01,3940,10797433
3940.01,7880,6956368
7880.01,15760,2407370
15760.01,,707948
